gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs,pval_synonymous,OR_synonymous,lowci_synonymous,highci_synonymous,pval_missense,OR_missense,lowci_missense,highci_missense,pval_PTVs,OR_PTVs,lowci_PTVs,highci_PTVs,cases_missense_MPC>=2,control_missense_MPC>=2,sample_missense_MPC>=2,pval_missense_MPC>=2,OR_missense_MPC>=2,lowci_missense_MPC>=2,highci_missense_MPC>=2
TRIM67,3,5,0,0,0,0,3,5,0,0.03597442136310939,inf,0.8385372201147251,inf,0.003916934604011342,inf,1.860234948898496,inf,,,,,,,,,,,
TRIM68,5,3,0,0,0,1,5,3,1,0.003916934604011342,inf,1.860234948898496,inf,0.03597442136310939,inf,0.8385372201147251,inf,1.0,0.0,0.0,79.02388266631878,,,,,,,
TRIM69,2,3,0,0,1,0,2,4,0,0.108994485854413,inf,0.3810289196999768,inf,0.1082830083029593,6.089065976923362,0.4887365991452925,319.18343169401834,,,,,,,,,,,
TRIM7,0,4,2,0,0,0,0,4,2,,,,,0.011871559049826107,inf,1.3398046898434977,inf,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,
TRIM71,1,7,0,1,0,0,2,7,0,0.5513490158118259,2.0289181396024274,0.025841350361913974,159.09232933227528,0.00042618407311165803,inf,2.9271852990982574,inf,,,,,,,,,,,
TRIM72,0,1,0,0,0,0,0,1,0,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
TRIM8,0,1,1,1,0,0,1,1,1,1.0,0.0,0.0,79.02388266631878,0.3301717508331197,inf,0.052018464830419324,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
TRIM9,4,3,0,0,0,0,4,3,0,0.011871559049826107,inf,1.3398046898434977,inf,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
TRIML1,0,3,0,0,0,0,0,3,0,,,,,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
TRIML2,0,0,1,0,0,0,0,0,1,,,,,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
